11:17:13: INFO: <module>: for iteration:1:number of inputs:10
11:17:21: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:17:21: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:17:23: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:17:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:17:23: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:17:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:17:26: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:17:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:17:26: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:17:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:17:26: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:17:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:17:28: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:17:28: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:17:31: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:17:31: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:17:31: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:17:31: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:17:31: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:17:31: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br><br>o</body>:mutated code output:['<br><br><br>o', '435\n']
11:17:31: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:17:31: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:17:33: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:17:33: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:17:33: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:17:33: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:17:33: INFO: test_env: for original code input:<!DOCTYPE html><body>3Y</body>:original code output:['3Y', '437\r\n']
11:17:33: INFO: test_env: For mutated code input:<!DOCTYPE html><body>3Y</body>:mutated code output:['3Y', '431\n']
11:17:34: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:17:34: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:17:36: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:17:36: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:17:36: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:17:36: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:17:36: INFO: test_env: for original code input:<!DOCTYPE html><body><i>4</i>4</body>:original code output:['<i>4</i>4', '479\r\n']
11:17:36: INFO: test_env: For mutated code input:<!DOCTYPE html><body><i>4</i>4</body>:mutated code output:['<i>4</i>4', '473\n']
11:17:37: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:17:37: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:17:38: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:17:38: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:17:38: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:17:38: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:17:39: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>w</body>:original code output:['<br><br>w', '441\r\n']
11:17:39: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>w</body>:mutated code output:['<br><br>w', '435\n']
11:17:40: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:17:40: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:17:41: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:17:41: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:17:41: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:17:41: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:17:41: INFO: test_env: for original code input:<!DOCTYPE html><body>w</body>:original code output:['w', '434\r\n']
11:17:41: INFO: test_env: For mutated code input:<!DOCTYPE html><body>w</body>:mutated code output:['w', '428\n']
11:17:42: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:17:42: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
11:17:43: INFO: test_env: for original code input:<!DOCTYPE html><body>YL</body>:original code output:['YL', '437\r\n']
11:17:43: INFO: test_env: For mutated code input:<!DOCTYPE html><body>YL</body>:mutated code output:['YL', '431\n']
11:17:43: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:17:43: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:17:44: INFO: test_env: for original code input:<!DOCTYPE html><body><br>n</body>:original code output:['<br>n', '440\r\n']
11:17:44: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>n</body>:mutated code output:['<br>n', '434\n']
11:17:45: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br>6w</body>:original code output:['<br><br>6w', '444\r\n']
11:17:45: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br><br>6w</body>:mutated code output:['<br><br>6w', '438\n']
11:17:46: INFO: test_env: for original code input:<!DOCTYPE html><body>4r</body>:original code output:['4r', '437\r\n']
11:17:46: INFO: test_env: For mutated code input:<!DOCTYPE html><body>4r</body>:mutated code output:['4r', '431\n']
11:17:46: INFO: test_env: for original code input:<!DOCTYPE html><body><br>53</body>:original code output:['<br>53', '443\r\n']
11:17:46: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>53</body>:mutated code output:['<br>53', '437\n']
